Name;Station;Time(norwegian mean time);Snow depth
Hornsund;SN99754;10.05.1996;59
Hornsund;SN99754;11.05.1996;59
Hornsund;SN99754;12.05.1996;58
Hornsund;SN99754;13.05.1996;58
Hornsund;SN99754;14.05.1996;57
Hornsund;SN99754;15.05.1996;57
Hornsund;SN99754;16.05.1996;57
Hornsund;SN99754;17.05.1996;57
Hornsund;SN99754;18.05.1996;56
Hornsund;SN99754;19.05.1996;56
Hornsund;SN99754;20.05.1996;55
Hornsund;SN99754;21.05.1996;55
Hornsund;SN99754;22.05.1996;55
Hornsund;SN99754;23.05.1996;55
Hornsund;SN99754;24.05.1996;55
Hornsund;SN99754;25.05.1996;55
Hornsund;SN99754;27.05.1996;55
Hornsund;SN99754;28.05.1996;54
Hornsund;SN99754;29.05.1996;54
Hornsund;SN99754;30.05.1996;53
Hornsund;SN99754;31.05.1996;52
Hornsund;SN99754;01.06.1996;52
Hornsund;SN99754;02.06.1996;51
Hornsund;SN99754;03.06.1996;51
Hornsund;SN99754;04.06.1996;48
Hornsund;SN99754;05.06.1996;47
Hornsund;SN99754;06.06.1996;44
Hornsund;SN99754;07.06.1996;38
Hornsund;SN99754;08.06.1996;35
Hornsund;SN99754;09.06.1996;34
Hornsund;SN99754;10.06.1996;33
Hornsund;SN99754;11.06.1996;31
Hornsund;SN99754;12.06.1996;30
Hornsund;SN99754;13.06.1996;29
Hornsund;SN99754;14.06.1996;25
Hornsund;SN99754;15.06.1996;22
Hornsund;SN99754;16.06.1996;21
Hornsund;SN99754;17.06.1996;20
Hornsund;SN99754;18.06.1996;18
Hornsund;SN99754;19.06.1996;17
Hornsund;SN99754;20.06.1996;17
Hornsund;SN99754;21.06.1996;16
Hornsund;SN99754;22.06.1996;15
Hornsund;SN99754;23.06.1996;12
Hornsund;SN99754;24.06.1996;7
Hornsund;SN99754;25.06.1996;6
Hornsund;SN99754;26.06.1996;8
Hornsund;SN99754;28.06.1996;5
Hornsund;SN99754;29.06.1996;4
Hornsund;SN99754;30.06.1996;3
