datetime;M050;M100;M000
1980-12-31;2.124955667789001;1.2956702508960574;0.11
1981-12-31;1.580399279658315;0.9051236111111105;0.2696022727272727
1982-12-31;1.727846461509505;1.3749920634920632;0.6996907216494844
1983-12-31;2.2321552711993897;0.9930755064456727;0.523632075471698
1984-12-31;1.6614166005290998;0.9288830409356722;0.470050505050505
1985-12-31;0.9646811465721044;0.6446516969931604;0.11226315789473684
1986-12-31;1.617065972222223;0.24568627450980393;NaN
1987-12-31;1.3017848083499204;0.6511864617044237;0.3005344569288388
1988-12-31;0.2831006768189509;0.12332064297800338;0.03263930348258707
1989-12-31;2.3400988700564973;1.1079885057471262;0.24742727272727272
1990-12-31;0.09677777777777778;0.09194444444444444;NaN
1991-12-31;0.8433990439720739;0.27339741561181413;0.04499131944444437
1992-12-31;1.6305037459283391;0.3754722222222223;0.11063200589970508
1993-12-31;1.3572601743987995;0.3234620655898192;0.04330578512396692
1994-12-31;1.0397268729641695;0.289570649208947;0.03166629044394284
1995-12-31;1.2260565464587407;0.28463559155621054;0.03706522969634425
1996-12-31;0.838942979452666;0.23125548046298464;0.02446788095238095
1997-12-31;0.748956765523034;0.2380603318250375;0.05911062416998664
1998-12-31;1.0188170913780843;0.21924231332357286;0.08862423146473775
1999-12-31;0.7484171924233421;0.17362379227053146;0.03272743362831858
2000-12-31;1.008196750149075;0.29992111724984644;0.10105423101673114
2001-12-31;0.8313769539078157;0.2247209699453555;0.065822131806309
2002-12-31;0.7591212386511031;0.23588323150033938;0.07296443268665488
2003-12-31;0.775891421568627;0.1795303514376998;0.06016153846153843
2004-12-31;0.6847866885485043;0.15450774218154092;0.1008851669403393
2005-12-31;0.8417012360446569;0.19784266017842653;0.15662423076923082
2006-12-31;1.0002680161943323;0.25339828178694174;0.12201858108108107
2007-12-31;0.7815522702104092;0.15738762855414415;0.07997272727272729
2008-12-31;1.1983140005185389;0.24310545171339548;0.19686936936936947
2009-12-31;0.9274081949499555;0.19029440789473714;0.09502393162393158
2010-12-31;1.13036980474198;0.225025417574437;0.14826024363233664
2011-12-31;0.7048601554907681;0.15761282051282052;0.0486469965764083
2012-12-31;0.7389261805761806;0.1509146431199412;0.07691815476190483
2013-12-31;1.04640869375273;0.2616971123666038;0.12772148394241425
2014-12-31;0.8441948018648012;0.1705514578408195;0.036410796387520504
2015-12-31;0.8459513996529784;0.21937254098360642;0.07084896907216492
2016-12-31;0.7655910843373498;0.20273674948240167;0.10072200980392151
